Species,Genome size (Mb),No. of genes,Ty3-gypsy(%),Ty3-gypsy(Mb),Ty1-copia(%),Ty1-copia(Mb),Retrotransposons(%),Retrotransposons(Mb),Transposons(%),Transposons(Mb),Total repeats(%),Total repeats(Mb),LTR(%),LTR(Mb),Reference
Picea abies,19600.0 ,28354 ,35.38 ,6934.48 ,16.13 ,3161.48 ,59.29 ,11620.84 ,0.57 ,111.72 ,69.53 ,13627.88 ,58.33 ,11432.68 ,[50]
Populus euphratica,496.5 ,34279 ,31.18 ,154.81 ,6.20 ,30.78 ,38.15 ,189.41 ,3.14 ,15.59 ,42.48 ,210.91 ,36.69 ,182.17 ,[51]
Populus trichocarpa,480.0 ,41377 ,21.23 ,101.90 ,10.29 ,49.39 ,35.25 ,169.20 ,11.46 ,55.01 ,46.10 ,221.28 ,33.05 ,158.64 ,[51]
Prunus mume,280.0 ,31390 ,8.60 ,24.08 ,10.00 ,28.00 ,29.50 ,82.60 ,8.50 ,23.80 ,44.92 ,125.78 ,27.80 ,77.84 ,[52]
Prunus persica,265.0 ,27852 ,9.97 ,26.42 ,8.60 ,22.79 ,20.55 ,54.46 ,9.05 ,23.98 ,37.14 ,98.42 ,19.56 ,51.83 ,[53]
Pyrus bretschneideri Rehd.,527.0 ,42812 ,25.49 ,134.33 ,16.88 ,88.96 ,53.77 ,283.37 ,13.81 ,72.78 ,68.43 ,360.63 ,50.76 ,267.51 ,[54]
Raphanus sativus,402.0 ,61572 ,1.90 ,7.64 ,2.00 ,8.04 ,9.70 ,38.99 ,2.60 ,10.45 ,26.60 ,106.93 ,3.90 ,15.68 ,[55]
Ricinus communis,350.0 ,31237 ,11.45 ,40.08 ,4.77 ,16.70 ,18.16 ,63.56 ,0.91 ,3.19 ,52.21 ,182.74 ,16.22 ,56.77 ,[56]
Selaginella moellendorffii,212.0 ,22285 ,21.10 ,44.73 ,2.70 ,5.72 ,35.60 ,75.47 ,1.78 ,3.77 ,50.00 ,106.00 ,35.60 ,75.47 ,[57]
Sesamum indicum,274.0 ,27148 ,6.62 ,18.14 ,7.33 ,20.08 ,21.84 ,59.84 ,3.98 ,10.91 ,28.46 ,77.98 ,17.56 ,48.11 ,[58]
 Setaria italica,423.0 ,38801 ,22.10 ,93.48 ,7.20 ,30.46 ,31.60 ,133.67 ,9.38 ,39.68 ,46.44 ,196.44 ,29.58 ,125.12 ,[59]
Solanum commersonii,830.0 ,39290 ,28.46 ,236.22 ,4.31 ,35.77 ,37.80 ,313.74 ,4.56 ,37.85 ,44.50 ,369.35 ,34.00 ,282.20 ,[60]
Solanum lycopersicum,900.0 ,34727 ,19.70 ,177.30 ,6.30 ,56.70 ,62.30 ,560.70 ,0.90 ,8.10 ,63.2*,568.8*,61.80 ,556.20 ,[61]
Solanum melongena,1093.0 ,85446 ,25.40 ,277.62 ,3.00 ,32.79 ,31.40 ,343.20 ,2.10 ,22.95 ,70.40 ,769.47 ,28.80 ,314.78 ,[62]
Solanum pennellii,942.0 ,32273 ,37.05 ,349.01 ,8.39 ,79.03 ,46.69 ,439.82 ,3.50 ,32.97 ,75.00 ,706.50 ,45.00 ,423.90 ,[63]
Solanum tuberosum,844.0 ,39031 ,28.80 ,243.07 ,3.90 ,32.92 ,35.60 ,300.46 ,4.50 ,37.98 ,64.20 ,541.85 ,29.40 ,248.14 ,[64]
Sorghum bicolor,730.0 ,34496 ,19.00 ,138.70 ,5.18 ,37.81 ,54.52 ,398.00 ,7.46 ,54.46 ,62.00 ,452.60 ,54.40 ,397.12 ,[46]
Symbiodinium minutum,1500.0 ,41925 ,0.27 ,4.05 ,0.30 ,4.50 ,1.05 ,15.75 ,0.50 ,7.50 ,6.11 ,91.65 ,0.46 ,6.90 ,[65]
Tarenaya hassleriana,290.0 ,28917 ,14.07 ,40.80 ,19.81 ,57.45 ,38.19 ,110.75 ,4.62 ,13.40 ,43.32 ,125.63 ,37.07 ,107.50 ,[66]
Thellungiella parvula,140.0 ,28910 ,2.46 ,3.44 ,1.92 ,2.69 ,5.55 ,7.77 ,1.15 ,1.61 ,7.46 ,10.44 ,4.38 ,6.13 ,[67]
Triticum aestivum,17000.0 ,124201 ,36.10 ,6137.00 ,10.80 ,1836.00 ,59.00 ,10030.00 ,16.90 ,2873.00 ,76.60 ,13022.00 ,58.20 ,9894.00 ,[68]
Triticum urartu,4940.0 ,34879 ,36.57 ,1806.56 ,9.89 ,488.57 ,49.07 ,2424.06 ,9.77 ,482.64 ,66.88 ,3303.87 ,46.66 ,2305.00 ,[69]
Vigna angularis,542.0 ,34183 ,19.58 ,106.12 ,10.53 ,57.07 ,34.57 ,187.37 ,5.75 ,31.17 ,44.51 ,241.24 ,30.04 ,162.82 ,[70]
Vigna radiata var. radiata,548.0 ,22427 ,25.20 ,138.10 ,11.26 ,61.70 ,45.41 ,248.85 ,2.50 ,13.70 ,48.39 ,265.18 ,45.39 ,248.74 ,[71]
Vitis vinifera,487.0 ,30434 ,14.00 ,68.18 ,4.80 ,23.38 ,19.40 ,94.48 ,1.40 ,6.82 ,21.50 ,104.71 ,6.30 ,30.68 ,[36]
Volvox carteri,138.0 ,14566 ,0.49 ,0.68 ,0.16 ,0.22 ,5.85 ,8.07 ,1.35 ,1.86 ,21.45 ,29.60 ,3.68 ,5.08 ,[72]
Zea mays ssp. mays ,2300.0 ,32000 ,46.40 ,1067.20 ,23.70 ,545.10 ,75.60 ,1738.80 ,8.60 ,197.80 ,84.20 ,1936.60 ,70.10 ,1612.30 ,[73]
Zizania latifolia,590.0 ,43703 ,13.20 ,77.88 ,15.97 ,94.22 ,31.05 ,183.20 ,7.11 ,41.95 ,37.65 ,222.14 ,29.80 ,175.82 ,[74]
Ziziphus jujuba,444.0 ,32808 ,17.32 ,76.90 ,12.64 ,56.12 ,38.03 ,168.85 ,8.80 ,39.07 ,46.82 ,207.88 ,29.96 ,133.02 ,[75]
Zostera marina,203.0 ,20450 ,19.27 ,39.12 ,11.64 ,23.63 ,35.99 ,73.06 ,3.38 ,6.86 ,63.00 ,127.89 ,30.90 ,62.73 ,[76]
